Date,Share Price,NAV,Discount
12/19/2022 ,$20.98 ,$19.77 ,6.12%
12/16/2022 ,$21.32 ,$20.02 ,6.49%
12/15/2022 ,$21.54 ,$20.25 ,6.37%
12/14/2022 ,$22.04 ,$20.79 ,6.01%
12/13/2022 ,$22.38 ,$21.36 ,4.78%
12/12/2022,$22.30 ,$21.12 ,5.59%
12/09/2022,$21.72 ,$20.92 ,3.82%
12/08/2022,$21.88 ,$21.04 ,3.99%
12/07/2022,$21.35 ,$20.83 ,2.50%
12/06/2022,$21.64 ,$20.89 ,3.59%
12/05/2022,$21.78 ,$21.21 ,2.69%
12/02/2022,$22.01 ,$21.45 ,2.61%
12/01/2022,$22.62 ,$21.49 ,5.26%
11/30/2022 ,$22.50 ,$21.46 ,4.85%
11/29/2022 ,$22.03 ,$20.81 ,5.86%
11/28/2022 ,$22.17 ,$20.91 ,6.03%
11/25/2022 ,$22.67 ,$21.17 ,7.09%
11/23/2022 ,$23.01 ,$21.23 ,7.44%
11/22/2022 ,$23.01 ,$21.08 ,9.13%
11/21/2022 ,$22.59 ,$20.81 ,8.55%
11/18/2022 ,$22.82 ,$21.00 ,8.67%
11/17/2022 ,$22.61 ,$21.10 ,7.16%
11/16/2022 ,$22.67 ,$21.09 ,7.47%
11/15/2022 ,$23.04 ,$21.26 ,8.37%
11/14/2022 ,$23.06 ,$21.07 ,9.44%
11/11/2022,$23.42 ,$21.23 ,10.32%
11/10/2022,$23.35 ,$21.00 ,11.19%
11/09/2022,$21.76 ,$19.91 ,9.29%
11/08/2022,$22.09 ,$20.30 ,8.82%
11/07/2022,$21.75 ,$20.19 ,7.73%
11/04/2022,$21.70 ,$20.00 ,8.50%
11/03/2022,$21.57 ,$19.72 ,9.38%
11/02/2022,$21.73 ,$20.03 ,8.49%
11/01/2022,$22.27 ,$20.53 ,8.48%
10/31/2022 ,$22.47 ,$20.65 ,8.81%
10/28/2022 ,$22.67 ,$20.80 ,8.99%
10/27/2022 ,$22.08 ,$20.47 ,7.87%
10/26/2022 ,$22.45 ,$20.66 ,8.66%
10/25/2022 ,$22.42 ,$21.11 ,6.21%
10/24/2022 ,$21.65 ,$20.71 ,4.54%
10/21/2022 ,$21.71 ,$20.63 ,5.24%
10/20/2022 ,$21.80 ,$20.18 ,8.03%
10/19/2022 ,$21.95 ,$20.29 ,8.18%
10/18/2022 ,$22.00 ,$20.42 ,7.74%
10/17/2022 ,$21.97 ,$20.25 ,8.49%
10/14/2022 ,$21.29 ,$19.59 ,8.68%
10/13/2022 ,$22.17 ,$20.17 ,9.92%
10/12/2022,$21.51 ,$19.70 ,9.19%
10/11/2022,$21.20 ,$19.71 ,7.56%
10/10/2022,$21.08 ,$19.92 ,5.82%
10/07/2022,$21.37 ,$20.11 ,6.27%
10/06/2022,$22.20 ,$20.81 ,6.68%
10/05/2022,$22.26 ,$20.94 ,6.30%
10/04/2022,$22.46 ,$20.95 ,7.21%
10/03/2022,$21.26 ,$20.39 ,4.27%
9/30/2022 ,$20.51 ,$19.93 ,2.91%
9/29/2022 ,$20.60 ,$20.24 ,1.78%
9/28/2022 ,$21.28 ,$20.74 ,2.60%
9/27/2022 ,$20.81 ,$20.41 ,1.96%
9/26/2022 ,$20.74 ,$20.39 ,1.72%
9/23/2022 ,$20.96 ,$20.50 ,2.24%
9/22/2022 ,$21.28 ,$20.79 ,2.36%
9/21/2022 ,$21.28 ,$20.96 ,1.53%
9/20/2022 ,$21.60 ,$21.22 ,1.79%
9/19/2022 ,$21.88 ,$21.39 ,2.29%
9/16/2022 ,$21.79 ,$21.29 ,2.35%
9/15/2022 ,$22.02 ,$21.42 ,2.80%
9/14/2022 ,$22.38 ,$21.74 ,2.94%
9/13/2022 ,$22.71 ,$22.08 ,2.85%
09/12/2022,$23.91 ,$23.31 ,2.57%
09/09/2022,$23.18 ,$23.04 ,0.61%
