Date,Share Price,NAV,Discount
06/02/2023,$17.88 ,$21.05 ,-15.06%
06/01/2023,$17.60 ,$20.82 ,-15.47%
5/31/2023 ,$17.39 ,$20.52 ,-15.25%
5/30/2023 ,$17.75 ,$20.67 ,-14.13%
5/26/2023 ,$17.68 ,$21.00 ,-15.81%
5/25/2023 ,$16.85 ,$20.62 ,-18.28%
5/24/2023 ,$16.66 ,$20.10 ,-17.11%
5/23/2023 ,$16.63 ,$20.26 ,-17.92%
5/22/2023 ,$16.91 ,$20.29 ,-16.66%
5/19/2023 ,$16.68 ,$20.20 ,-17.43%
5/18/2023 ,$16.65 ,$20.08 ,-17.08%
5/17/2023 ,$16.39 ,$19.82 ,-17.31%
5/16/2023 ,$16.10 ,$19.58 ,-17.77%
5/15/2023 ,$16.35 ,$19.57 ,-16.45%
05/12/2023,$16.12 ,$19.41 ,-16.95%
05/11/2023,$16.28 ,$19.56 ,-16.77%
05/10/2023,$16.33 ,$19.57 ,-16.56%
05/09/2023,$16.32 ,$19.46 ,-16.14%
05/08/2023,$16.48 ,$19.56 ,-15.75%
05/05/2023,$16.52 ,$19.52 ,-15.37%
05/04/2023,$16.30 ,$19.31 ,-15.59%
05/03/2023,$16.41 ,$19.40 ,-15.41%
05/02/2023,$16.41 ,$19.47 ,-15.72%
05/01/2023,$16.51 ,$19.60 ,-15.77%
4/27/2023 ,$16.19 ,$19.65 ,-17.61%
4/26/2023 ,$16.29 ,$19.30 ,-15.60%
4/25/2023 ,$16.32 ,$19.34 ,-15.62%
4/24/2023 ,$16.75 ,$19.81 ,-15.45%
4/21/2023 ,$16.93 ,$19.92 ,-15.01%
4/20/2023 ,$16.96 ,$19.92 ,-14.86%
4/19/2023 ,$17.09 ,$20.03 ,-14.68%
4/18/2023 ,$17.24 ,$20.17 ,-14.53%
4/17/2023 ,$17.32 ,$20.12 ,-13.92%
4/14/2023 ,$17.34 ,$20.10 ,-13.73%
4/13/2023 ,$17.45 ,$20.13 ,-13.31%
04/12/2023,$17.52 ,$20.09 ,-12.79%
04/11/2023,$17.51 ,$20.22 ,-13.40%
04/10/2023,$17.45 ,$20.20 ,-13.61%
04/06/2023,$17.45 ,$20.13 ,-13.31%
04/05/2023,$17.43 ,$20.20 ,-13.71%
04/04/2023,$17.82 ,$20.41 ,-12.69%
04/03/2023,$18.14 ,$20.50 ,-11.51%
3/31/2023 ,$18.69 ,$20.56 ,-9.10%
3/30/2023 ,$17.67 ,$20.34 ,-13.13%
3/29/2023 ,$17.26 ,$20.10 ,-14.13%
3/28/2023 ,$16.84 ,$19.86 ,-15.21%
3/27/2023 ,$16.89 ,$19.95 ,-15.34%
3/24/2023 ,$16.86 ,$19.94 ,-15.45%
3/23/2023 ,$16.97 ,$20.07 ,-15.45%
3/22/2023 ,$16.73 ,$19.96 ,-16.18%
3/21/2023 ,$17.01 ,$20.03 ,-15.08%
3/20/2023 ,$16.74 ,$19.83 ,-15.58%
3/17/2023 ,$16.61 ,$19.79 ,-16.07%
3/16/2023 ,$16.72 ,$19.85 ,-15.77%
3/15/2023 ,$16.36 ,$19.57 ,-16.40%
3/14/2023 ,$16.72 ,$19.81 ,-15.60%
3/13/2023 ,$16.70 ,$19.81 ,-15.70%
03/10/2023,$16.73 ,$20.11 ,-16.81%
03/09/2023,$17.21 ,$20.11 ,-14.42%
03/08/2023,$17.70 ,$20.44 ,-13.41%
03/07/2023,$17.83 ,$20.35 ,-12.38%
03/06/2023,$18.07 ,$20.56 ,-12.11%
03/03/2023,$17.96 ,$20.62 ,-12.90%
03/02/2023,$17.81 ,$20.36 ,-12.52%
03/01/2023,$17.77 ,$20.34 ,-12.64%
2/28/2023 ,$17.63 ,$20.34 ,-13.32%
2/27/2023 ,$17.54 ,$20.27 ,-13.47%
2/24/2023 ,$17.34 ,$20.30 ,-14.58%
2/23/2023 ,$17.63 ,$20.55 ,-14.21%
2/22/2023 ,$17.48 ,$20.36 ,-14.15%
2/21/2023 ,$17.47 ,$20.35 ,-14.15%
2/17/2023 ,$17.98 ,$20.69 ,-13.10%
2/16/2023 ,$18.31 ,$20.97 ,-12.68%
2/15/2023 ,$18.50 ,$21.14 ,-12.49%
2/14/2023 ,$18.58 ,$21.25 ,-12.56%
2/13/2023 ,$18.77 ,$21.25 ,-11.67%
02/10/2023,$18.49 ,$21.10 ,-12.37%
02/09/2023,$18.71 ,$21.30 ,-12.16%
02/08/2023,$18.75 ,$21.40 ,-12.38%
02/07/2023,$18.94 ,$21.40 ,-11.50%
02/06/2023,$18.59 ,$21.15 ,-12.10%
02/03/2023,$18.74 ,$21.33 ,-12.14%
02/02/2023,$19.04 ,$21.69 ,-12.22%
02/01/2023,$18.58 ,$21.36 ,-13.01%
1/31/2023 ,$18.15 ,$20.96 ,-13.41%
1/30/2023 ,$18.31 ,$20.77 ,-11.84%
1/27/2023 ,$18.60 ,$21.46 ,-13.33%
1/26/2023 ,$18.43 ,$21.23 ,-13.19%
1/25/2023 ,$18.04 ,$21.05 ,-14.30%
1/24/2023 ,$18.05 ,$21.04 ,-14.21%
1/23/2023 ,$18.04 ,$20.95 ,-13.89%
1/20/2023 ,$17.45 ,$20.51 ,-14.92%
1/19/2023 ,$17.00 ,$20.25 ,-16.05%
1/18/2023 ,$17.09 ,$20.41 ,-16.27%
1/17/2023 ,$17.17 ,$20.48  -16.25%,
1/13/2023 ,$17.01 ,$20.36 ,-16.45%
01/12/2023,$17.00 ,$20.15 ,-15.63%
01/11/2023,$17.18 ,$20.21 ,-14.99%
01/10/2023,$16.79 ,$20.03 ,-16.18%
01/09/2023,$16.48 ,$19.88 ,-17.10%
01/06/2023,$16.36 ,$19.62 ,-16.62%
01/05/2023,$16.10 ,$19.31 ,-16.62%
01/04/2023,$16.31 ,$19.56 ,-16.62%
01/03/2023,$16.00 ,$19.40 ,-17.53%
12/29/2022 ,$15.74 ,$19.55 ,-19.49%
12/28/2022 ,$15.34 ,$19.08 ,-19.60%
12/27/2022 ,$15.56 ,$19.21 ,-19.00%
12/23/2022 ,$15.85 ,$19.37 ,-18.17%
12/22/2022 ,$15.85 ,$19.58 ,-19.05%
12/21/2022 ,$16.22 ,$19.84 ,-18.25%
12/20/2022 ,$16.00 ,$19.69 ,-18.74%
12/19/2022 ,$16.01 ,$19.79 ,-19.10%
12/16/2022 ,$16.53 ,$20.06 ,-17.60%
12/15/2022 ,$16.82 ,$20.29 ,-17.10%
12/14/2022 ,$17.53 ,$20.93 ,-16.24%
12/13/2022 ,$17.38 ,$20.89 ,-16.80%
12/12/2022,$17.12 ,$20.72 ,-17.37%
12/09/2022,$16.85 ,$20.62 ,-18.28%
12/08/2022,$17.00 ,$20.66 ,-17.72%
12/07/2022,$16.81 ,$20.46 ,-17.84%
12/06/2022,$16.69 ,$20.50 ,-18.59%
12/05/2022,$17.11 ,$20.69 ,-17.30%
12/02/2022,$17.76 ,$21.07 ,-15.71%
12/01/2022,$17.75 ,$21.17 ,-16.15%
11/30/2022 ,$17.22 ,$21.00 ,-18.00%
11/29/2022 ,$16.98 ,$20.44 ,-16.93%
11/28/2022 ,$16.97 ,$20.34 ,-16.57%
11/25/2022 ,$17.36 ,$20.61 ,-15.77%
