Date,Share Price,NAV,Discount
01/10/2023,$30.63 ,$29.90 ,2.44%
01/09/2023,$30.29 ,$29.68 ,2.06%
01/06/2023,$29.62 ,$29.34 ,0.95%
01/05/2023,$28.75 ,$28.82 ,-0.24%
01/04/2023,$28.79 ,$29.20 ,-1.40%
01/03/2023,$28.52 ,$28.95 ,-1.49%
12/29/2022 ,$28.07 ,$29.16 ,-3.74%
12/28/2022 ,$28.07 ,$28.47 ,-1.40%
12/27/2022 ,$28.37 ,$28.79 ,-1.46%
12/23/2022 ,$28.93 ,$29.12 ,-0.65%
12/22/2022 ,$29.08 ,$29.28 ,-0.68%
12/21/2022 ,$29.67 ,$29.78 ,-0.37%
12/20/2022 ,$29.90 ,$29.47 ,1.46%
12/19/2022 ,$29.90 ,$29.62 ,0.95%
12/16/2022 ,$30.63 ,$29.98 ,2.17%
12/15/2022 ,$30.89 ,$30.34 ,1.81%
12/14/2022 ,$31.51 ,$31.31 ,0.64%
12/13/2022 ,$31.71 ,$31.36 ,1.12%
12/12/2022,$31.39 ,$31.10 ,0.93%
12/09/2022,$30.93 ,$30.79 ,0.45%
12/08/2022,$31.07 ,$30.89 ,0.58%
12/07/2022,$30.33 ,$30.60 ,-0.88%
12/06/2022,$30.33 ,$30.66 ,-1.08%
12/05/2022,$31.19 ,$31.04 ,0.48%
12/02/2022,$32.09 ,$31.53 ,1.78%
12/01/2022,$32.18 ,$31.75 ,1.35%
11/30/2022 ,$32.34 ,$31.61 ,2.31%
11/29/2022 ,$30.96 ,$30.66 ,0.98%
11/28/2022 ,$30.91 ,$30.74 ,0.55%
11/25/2022 ,$31.37 ,$31.17 ,0.64%
11/23/2022 ,$31.17 ,$31.19 ,0.55%
11/22/2022 ,$31.17 ,$30.88 ,0.94%
11/21/2022 ,$31.26 ,$30.65 ,1.99%
11/18/2022 ,$31.61 ,$31.04 ,1.84%
11/17/2022 ,$31.68 ,$31.17 ,1.64%
11/16/2022 ,$31.87 ,$31.35 ,1.66%
11/15/2022 ,$32.45 ,$31.69 ,2.40%
11/14/2022 ,$32.00 ,$31.37 ,2.01%
11/11/2022,$32.40 ,$31.75 ,2.05%
11/10/2022,$32.27 ,$31.04 ,3.96%
11/09/2022,$29.65 ,$29.44 ,0.71%
11/08/2022,$30.19 ,$30.03 ,0.53%
11/07/2022,$30.54 ,$29.90 ,2.14%
11/04/2022,$30.02 ,$29.79 ,0.77%
11/03/2022,$30.07 ,$29.64 ,1.45%
11/02/2022,$30.36 ,$30.06 ,1.00%
11/01/2022,$31.31 ,$30.88 ,1.39%
10/31/2022 ,$31.26 ,$31.00 ,0.84%
10/28/2022 ,$31.22 ,$31.32 ,-0.32%
10/27/2022 ,$30.42 ,$31.18 ,-2.44%
