Date,Share Price,NAV,Discount
9/20/2022 ,$16.64 ,$19.18 ,-13.24%
9/19/2022 ,$16.93 ,$19.40 ,-12.73%
9/16/2022 ,$16.95 ,$19.32 ,-12.27%
9/15/2022 ,$17.08 ,$19.53 ,-12.54%
9/14/2022 ,$17.29 ,$19.69 ,-12.19%
9/13/2022 ,$17.26 ,$19.63 ,-12.07%
09/12/2022,$17.85 ,$20.30 ,-12.07%
09/09/2022,$17.75 ,$20.15 ,-11.91%
09/08/2022,$17.55 ,$20.01 ,-12.29%
09/07/2022,$17.28 ,$19.80 ,-12.73%
09/06/2022,$17.01 ,$19.48 ,-12.68%
09/02/2022,$17.22 ,$19.54 ,-11.87%
09/01/2022,$17.26 ,$19.63 ,-12.07%
8/31/2022 ,$17.41 ,$19.78 ,-11.98%
8/30/2022 ,$17.31 ,$19.91 ,-13.06%
8/29/2022 ,$17.63 ,$20.07 ,-12.16%
8/26/2022 ,$17.73 ,$20.24 ,-12.40%
8/25/2022 ,$18.18 ,$20.79 ,-12.55%
8/24/2022 ,$17.94 ,$20.49 ,-12.45%
8/23/2022 ,$17.77 ,$20.40 ,-12.89%
8/22/2022 ,$17.61 ,$20.36 ,-13.51%
8/19/2022 ,$18.11 ,$20.75 ,-12.72%
8/18/2022 ,$18.46 ,$21.01 ,-12.14%
8/17/2022 ,$18.32 ,$20.82 ,-12.01%
8/16/2022 ,$18.67 ,$21.08 ,-11.43%
8/15/2022 ,$18.92 ,$21.14 ,-10.50%
08/12/2022,$18.65 ,$21.12 ,-11.70%
08/11/2022,$18.39 ,$20.76 ,-11.42%
08/10/2022,$18.36 ,$20.76 ,-11.56%
08/09/2022,$18.19 ,$20.43 ,-10.96%
08/08/2022,$18.36 ,$20.66 ,-11.13%
08/05/2022,$18.16 ,$20.66 ,-12.10%
08/04/2022,$18.15 ,$20.63 ,-12.02%
08/03/2022,$18.28 ,$20.63 ,-11.39%
08/02/2022,$17.96 ,$20.34 ,-11.70%
08/01/2022,$17.97 ,$20.34 ,-11.65%
7/28/2022 ,$17.50 ,$20.12 ,-13.02%
7/27/2022 ,$17.29 ,$19.83 ,-12.81%
7/26/2022 ,$16.72 ,$19.34 ,-13.55%
7/25/2022 ,$17.04 ,$19.54 ,-12.79%
7/22/2022 ,$17.04 ,$19.51 ,-12.66%
7/21/2022 ,$17.17 ,$19.68 ,-12.75%
7/20/2022 ,$16.83 ,$19.50 ,-13.69%
7/19/2022 ,$16.72 ,$19.34 ,-13.55%
7/18/2022 ,$16.35 ,$18.86 ,-13.31%
7/15/2022 ,$16.47 ,$18.94 ,-13.04%
7/14/2022 ,$16.28 ,$18.57 ,-12.33%
7/13/2022 ,$16.21 ,$18.64 ,-13.04%
07/12/2022,$16.29 ,$18.70 ,-12.89%
07/11/2022,$16.48 ,$18.90 ,-12.80%
07/08/2022,$16.77 ,$19.12 ,-12.29%
07/07/2022,$16.97 ,$19.24 ,-11.80%
07/06/2022,$16.68 ,$18.87 ,-11.61%
07/05/2022,$16.58 ,$18.83 ,-11.95%
07/01/2022,$16.57 ,$18.80 ,-11.86%
6/30/2022 ,$16.19 ,$18.74 ,-13.61%
6/29/2022 ,$16.39 ,$18.92 ,-13.37%
6/28/2022 ,$16.40 ,$19.03 ,-13.82%
6/27/2022 ,$16.56 ,$19.37 ,-14.51%
6/24/2022 ,$16.61 ,$19.38 ,-14.29%
6/23/2022 ,$16.31 ,$18.88 ,-13.61%
6/22/2022 ,$16.06 ,$18.75 ,-14.35%
6/21/2022 ,$15.97 ,$18.82 ,-15.14%
6/17/2022 ,$15.78 ,$18.52 ,-14.79%
6/16/2022 ,$15.75 ,$18.42 ,-14.50%
6/15/2022 ,$16.45 ,$19.11 ,-13.92%
6/14/2022 ,$16.08 ,$18.89 ,-14.88%
6/13/2022 ,$16.30 ,$18.94 ,-13.94%
06/10/2022,$17.25 ,$19.80 ,-12.88%
06/09/2022,$17.82 ,$20.48 ,-12.99%
06/08/2022,$18.42 ,$20.89 ,-11.82%
06/07/2022,$18.55 ,$21.11 ,-12.13%
06/06/2022,$18.47 ,$20.95 ,-11.84%
06/03/2022,$18.49 ,$20.89 ,-11.49%
06/02/2022,$18.76 ,$21.15 ,-11.30%
06/01/2022,$18.40 ,$20.73 ,-11.24%
5/31/2022 ,$18.32 ,$20.87 ,-12.22%
5/27/2022 ,$18.28 ,$21.07 ,-13.24%
5/26/2022 ,$17.58 ,$20.57 ,-14.54%
5/25/2022 ,$16.96 ,$20.13 ,-15.75%
5/24/2022 ,$16.79 ,$19.81 ,-15.24%
5/23/2022 ,$17.22 ,$20.06 ,-14.16%
5/20/2022 ,$17.01 ,$19.81 ,-14.13%
5/19/2022 ,$17.13 ,$19.82 ,-13.57%
5/18/2022 ,$17.23 ,$19.79 ,-12.94%
5/17/2022 ,$17.69 ,$20.42 ,-13.37%
5/16/2022 ,$17.30 ,$20.04 ,-13.67%
5/13/2022 ,$17.42 ,$20.25 ,-13.98%
05/12/2022,$16.91 ,$19.67 ,-14.03%
05/11/2022,$17.35 ,$19.71 ,-11.97%
05/10/2022,$17.87 ,$20.18 ,-11.45%
05/09/2022,$17.88 ,$20.04 ,-10.78%
05/06/2022,$18.77 ,$20.91 ,-10.23%
05/05/2022,$19.36 ,$21.25 ,-8.89%
05/04/2022,$19.87 ,$22.01 ,-9.72%
05/03/2022,$19.31 ,$21.51 ,-10.23%
05/02/2022,$19.24 ,$21.54 ,-10.68%
4/29/2022 ,$19.15 ,$21.40 ,-10.51%
4/28/2022 ,$19.59 ,$21.97 ,-10.83%
4/27/2022 ,$19.21 ,$21.50 ,-10.65%
4/26/2022 ,$19.27 ,$21.46 ,-10.21%
4/25/2022 ,$19.76 ,$21.99 ,-10.14%
4/22/2022 ,$19.76 ,$21.85 ,-9.57%
4/21/2022 ,$20.02 ,$22.36 ,-10.47%
4/20/2022 ,$20.41 ,$22.90 ,-10.87%
4/19/2022 ,$20.42 ,$22.96 ,-11.06%
4/18/2022 ,$20.21 ,$22.63 ,-10.69%
4/14/2022 ,$20.33 ,$22.68 ,-10.36%
4/13/2022 ,$20.97 ,$22.92 ,-8.51%
04/12/2022,$20.37 ,$22.51 ,-9.51%
04/11/2022,$20.32 ,$22.57 ,-9.97%
04/08/2022,$20.98 ,$22.89 ,-8.34%
04/07/2022,$21.51 ,$23.21 ,-7.32%
04/06/2022,$21.02 ,$23.19 ,-9.36%
04/05/2022,$21.78 ,$23.58 ,-7.63%
04/04/2022,$22.31 ,$24.00 ,-7.04%
04/01/2022,$22.08 ,$23.85 ,-7.42%
3/31/2022 ,$21.86 ,$23.89 ,-8.50%
3/30/2022 ,$21.75 ,$24.10 ,-9.75%
3/29/2022 ,$21.89 ,$24.35 ,-10.10%
3/28/2022 ,$21.54 ,$24.01 ,-10.29%
3/25/2022 ,$21.45 ,$23.91 ,-10.29%
3/24/2022 ,$21.44 ,$23.95 ,-10.48%
3/23/2022 ,$21.23 ,$23.55 ,-9.85%
3/22/2022 ,$21.54 ,$23.85 ,-9.69%
3/21/2022 ,$21.38 ,$23.62 ,-9.48%
3/18/2022 ,$21.76 ,$23.75 ,-8.38%
3/17/2022 ,$21.10 ,$23.41 ,-9.87%
3/16/2022 ,$20.55 ,$23.06 ,-10.88%
3/15/2022 ,$20.08 ,$22.43 ,-10.48%
3/14/2022 ,$19.81 ,$22.04 ,-10.12%
03/11/2022,$20.42 ,$22.38 ,-8.76%
03/10/2022,$20.90 ,$22.66 ,-7.77%
03/09/2022,$21.07 ,$22.89 ,-7.95%
03/08/2022,$20.30 ,$22.30 ,-8.97%
03/07/2022,$20.57 ,$22.22 ,-7.43%
03/04/2022,$21.91 ,$23.00 ,-4.74%
03/03/2022,$22.03 ,$23.38 ,-5.77%
03/02/2022,$22.42 ,$23.64 ,-5.16%
03/01/2022,$22.02 ,$23.21 ,-5.13%
2/28/2022 ,$21.90 ,$23.64 ,-7.36%
2/25/2022 ,$21.55 ,$23.71 ,-9.11%
2/24/2022 ,$21.13 ,$23.35 ,-9.51%
2/23/2022 ,$20.71 ,$22.85 ,-9.37%
2/22/2022 ,$21.13 ,$23.24 ,-9.08%
2/18/2022 ,$22.01 ,$23.44 ,-6.10%
2/17/2022 ,$22.21 ,$23.69 ,-6.25%
2/16/2022 ,$22.67 ,$24.32 ,-6.78%
2/15/2022 ,$22.59 ,$24.35 ,-7.23%
2/14/2022 ,$22.13 ,$23.85 ,-7.21%
02/11/2022,$22.39 ,$23.94 ,-6.47%
02/10/2022,$23.22 ,$24.52 ,-5.30%
02/09/2022,$23.75 ,$25.03 ,-5.11%
02/08/2022,$22.83 ,$24.56 ,-7.04%
02/07/2022,$22.60 ,$24.24 ,-6.77%
02/04/2022,$22.83 ,$24.19 ,-5.62%
02/03/2022,$23.12 ,$23.98 ,-3.59%
02/02/2022,$23.77 ,$24.51 ,-3.02%
02/01/2022,$23.83 ,$24.40 ,-2.34%
1/31/2022 ,$23.58 ,$24.18 ,-2.48%
1/28/2022 ,$21.81 ,$23.58 ,-7.51%
1/27/2022 ,$21.43 ,$23.18 ,-7.55%
1/26/2022 ,$21.49 ,$23.47 ,-8.44%
1/25/2022 ,$21.40 ,$23.46 ,-8.78%
1/24/2022 ,$21.62 ,$23.91 ,-9.58%
1/21/2022 ,$22.00 ,$23.81 ,-7.60%
1/20/2022 ,$22.94 ,$24.28 ,-5.52%
1/19/2022 ,$23.79 ,$24.49 ,-2.86%
1/18/2022 ,$23.91 ,$24.75 ,-3.39%
1/14/2022 ,$24.60 ,$25.34 ,-2.92%
1/13/2022 ,$24.83 ,$25.33 ,-1.97%
01/12/2022,$25.99 ,$25.85 ,0.54%
01/11/2022,$25.64 ,$25.99 ,-1.35%
01/10/2022,$25.23 ,$25.67 ,-1.71%
01/07/2022,$24.95 ,$25.66 ,-2.77%
01/06/2022,$24.92 ,$25.91 ,-3.82%
01/05/2022,$24.45 ,$25.88 ,-5.53%
01/04/2022,$25.02 ,$26.54 ,-5.73%
01/03/2022,$25.13 ,$26.66 ,-5.74%
12/31/2021 ,$24.79 ,$26.67 ,-7.05%
