Date,Share Price,NAV,Discount
10/25/2023 ,$25.66 ,$25.30 ,1.42%
10/24/2023 ,$26.38 ,$26.06 ,1.23%
10/23/2023 ,$26.22 ,$25.77 ,1.75%
10/20/2023 ,$26.30 ,$25.85 ,1.74%
10/19/2023 ,$26.71 ,$26.25 ,1.75%
10/18/2023 ,$27.11 ,$26.70 ,1.54%
10/17/2023 ,$27.44 ,$26.97 ,1.74%
10/16/2023 ,$27.54 ,$27.02 ,1.92%
10/13/2023 ,$27.22 ,$26.69 ,1.99%
10/12/2023,$27.58 ,$27.14 ,1.62%
10/11/2023,$27.54 ,$27.13 ,1.51%
10/10/2023,$27.42 ,$26.94 ,1.78%
10/09/2023,$27.24 ,$26.75 ,1.83%
10/06/2023,$27.26 ,$26.72 ,2.02%
10/05/2023,$26.79 ,$26.33 ,1.75%
10/04/2023,$26.89 ,$26.43 ,1.74%
10/03/2023,$26.68 ,$26.16 ,1.99%
10/02/2023,$27.41 ,$26.64 ,2.89%
9/29/2023 ,$27.22 ,$26.57 ,2.45%
9/28/2023 ,$27.31 ,$26.55 ,2.86%
9/27/2023 ,$26.87 ,$26.20 ,2.56%
9/26/2023 ,$26.75 ,$26.05 ,2.69%
9/25/2023 ,$27.23 ,$26.48 ,2.83%
9/22/2023 ,$27.29 ,$26.41 ,3.33%
9/21/2023 ,$27.39 ,$26.27 ,4.26%
9/20/2023 ,$27.81 ,$26.61 ,4.51%
9/19/2023 ,$27.73 ,$26.90 ,3.09%
9/18/2023 ,$27.91 ,$27.00 ,3.37%
9/15/2023 ,$28.22 ,$26.94 ,4.75%
9/14/2023 ,$28.51 ,$27.45 ,3.86%
9/13/2023 ,$28.72 ,$27.19 ,5.63%
09/12/2023,$28.86 ,$27.11 ,6.46%
09/11/2023,$29.41 ,$27.47 ,7.06%
09/08/2023,$29.57 ,$27.48 ,7.61%
09/07/2023,$29.66 ,$27.47 ,7.97%
09/06/2023,$30.00 ,$27.88 ,7.60%
09/05/2023,$30.55 ,$27.96 ,9.28%
09/01/2023,$30.39 ,$28.00 ,8.54%
8/31/2023 ,$30.31 ,$27.87 ,8.75%
8/30/2023 ,$30.22 ,$27.66 ,9.26%
8/29/2023 ,$30.14 ,$27.56 ,9.36%
8/28/2023 ,$29.56 ,$27.10 ,9.08%
8/25/2023 ,$29.25 ,$26.82 ,9.06%
8/24/2023 ,$29.26 ,$26.65 ,9.79%
8/23/2023 ,$29.74 ,$27.25 ,9.14%
8/22/2023 ,$29.24 ,$26.84 ,8.94%
8/21/2023 ,$28.98 ,$26.88 ,7.81%
8/18/2023 ,$28.46 ,$26.35 ,8.01%
8/17/2023 ,$28.42 ,$26.28 ,8.14%
8/16/2023 ,$28.81 ,$26.45 ,8.92%
8/15/2023 ,$29.38 ,$26.79 ,9.67%
8/14/2023 ,$29.74 ,$27.14 ,9.58%
08/11/2023,$29.29 ,$26.74 ,9.54%
08/10/2023,$30.04 ,$27.52 ,9.16%
08/09/2023,$30.15 ,$27.59 ,9.28%
08/08/2023,$30.43 ,$27.90 ,9.07%
08/07/2023,$30.33 ,$28.19 ,7.59%
08/04/2023,$29.85 ,$27.86 ,7.14%
08/03/2023,$29.88 ,$28.26 ,5.73%
08/02/2023,$30.08 ,$28.29 ,6.33%
7/31/2023 ,$31.04 ,$28.99 ,7.07%
7/28/2023 ,$30.78 ,$28.82 ,6.80%
7/27/2023 ,$30.42 ,$28.50 ,6.74%
7/26/2023 ,$30.31 ,$28.37 ,6.84%
7/25/2023 ,$30.29 ,$28.48 ,6.36%
7/24/2023 ,$30.21 ,$28.21 ,7.09%
7/21/2023 ,$30.06 ,$28.13 ,6.86%
7/20/2023 ,$30.07 ,$28.03 ,7.28%
7/19/2023 ,$30.83 ,$28.50 ,8.18%
7/18/2023 ,$30.98 ,$28.66 ,8.09%
7/17/2023 ,$30.79 ,$28.62 ,7.58%
7/14/2023 ,$30.56 ,$28.24 ,8.22%
7/13/2023 ,$30.68 ,$28.42 ,7.95%
07/12/2023,$30.24 ,$27.95 ,8.19%
07/11/2023,$29.90 ,$27.82 ,7.48%
07/10/2023,$29.80 ,$27.67 ,7.70%
07/07/2023,$29.87 ,$27.34 ,9.25%
07/06/2023,$30.16 ,$27.29 ,10.52%
07/05/2023,$30.70 ,$27.53 ,11.51%
07/03/2023,$30.90 ,$27.82 ,11.07%
6/30/2023 ,$30.66 ,$27.72 ,10.61%
6/29/2023 ,$30.27 ,$27.41 ,10.43%
6/28/2023 ,$30.29 ,$27.28 ,11.03%
6/27/2023 ,$30.06 ,$27.28 ,10.19%
6/26/2023 ,$29.45 ,$26.62 ,10.63%
