Date,Adj Close,Close,High,Low,Open,Volume,Share Turnover,Weighted ST
29/09/2023,1.50999999,1.50999999,1.549999952,1.279999971,1.409999967,13594200,0.054248773,0.0020515164477870364
06/10/2023,1.470000029,1.470000029,1.590000033,1.320000052,1.549999952,8113000,0.032375594,0.0008006298463166629
13/10/2023,1.309999943,1.309999943,1.54400003,1.299999952,1.429999948,6283200,0.025073626,0.0003492042886276193
20/10/2023,1.299999952,1.299999952,1.450000048,1.299999952,1.340000033,5629700,0.022465781,0.0003956148267363959
27/10/2023,1.25,1.25,1.389999986,1.230000019,1.299999952,5168200,0.020624127,0.0003715819259768746
03/11/2023,1.440000057,1.440000057,1.450000048,1.159999967,1.25,7550700,0.030131689,0.0004582055948311853
10/11/2023,1.559999943,1.559999943,1.700000048,1.429999948,1.50999999,14373200,0.057357436,0.00209698596001632
17/11/2023,1.799999952,1.799999952,2.089999914,1.519999981,1.539999962,16164700,0.064506565,0.0023641808010316672
24/11/2023,1.860000014,1.860000014,1.950000048,1.720000029,1.840000033,6408100,0.02557205,0.0004308841373022321
01/12/2023,1.799999952,1.799999952,1.970000029,1.644999981,1.879999995,10718200,0.042771858,0.0010059000282076692
08/12/2023,1.74000001,1.74000001,1.820000052,1.610000014,1.809999943,7333900,0.029266531,0.00040068767940197163
15/12/2023,1.919999957,1.919999957,1.970000029,1.651000023,1.769999981,10958700,0.043731593,0.0010664238971557292
22/12/2023,1.850000024,1.850000024,1.950000048,1.659999967,1.889999986,10529400,0.042018436,0.00128610702774455
29/12/2023,2.140000105,2.140000105,2.349999905,1.86500001,1.870000005,17699400,0.070630911,0.005739669722560115
05/01/2024,1.940000057,1.940000057,2.130000114,1.850000024,2.069999933,11414300,0.045549703,0.0020090924809556287
12/01/2024,2.0,2.0,2.24000001,1.850000024,1.99000001,16439300,0.065602378,0.003683306947451792
19/01/2024,1.769999981,1.769999981,1.99000001,1.620000005,1.970000029,10400500,0.04150405,0.0020708827268392117
26/01/2024,1.809999943,1.809999943,1.980000019,1.75999999,1.809999943,10198500,0.040697953,0.0012827640831513506
02/02/2024,1.629999995,1.629999995,1.850000024,1.570000052,1.820000052,8028200,0.032037192,0.0008980337076094448
09/02/2024,1.850000024,1.850000024,1.909999967,1.570000052,1.659999967,11068000,0.044167764,0.00037186756777632846
16/02/2024,2.210000038,2.210000038,2.329999924,1.74000001,1.860000014,30261900,0.1207626,0.006259832263376741
